## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates TAGGING_POLICY=All INPUT=[01_mappedReads/ERR1013161_sorted.bam] OUTPUT=01_mappedReads/ERR1013161_dedup.bam METRICS_FILE=02_bamSumstats/ERR1013161_dedupMetrics.txt REMOVE_DUPLICATES=false TMP_DIR=[01_mappedReads/tmp]    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed May 27 21:22:45 GMT-05:00 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	582	74645	172	582	87	226	0	0.003596	12302265

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	74269	74269
2.0	1.993951	101	101
3.0	2.981889	29	29
4.0	3.963851	13	13
5.0	4.939873	7	7
6.0	5.90999	0	0
7.0	6.87424	0	0
8.0	7.832656	0	0
9.0	8.785274	0	0
10.0	9.73213	0	0
11.0	10.673259	0	0
12.0	11.608694	0	0
13.0	12.538471	0	0
14.0	13.462623	0	0
15.0	14.381184	0	0
16.0	15.29419	0	0
17.0	16.201672	0	0
18.0	17.103664	0	0
19.0	18.000201	0	0
20.0	18.891314	0	0
21.0	19.777036	0	0
22.0	20.657401	0	0
23.0	21.53244	0	0
24.0	22.402186	0	0
25.0	23.26667	0	0
26.0	24.125925	0	0
27.0	24.979982	0	0
28.0	25.828873	0	0
29.0	26.672629	0	0
30.0	27.51128	0	0
31.0	28.344859	0	0
32.0	29.173395	0	0
33.0	29.996919	0	0
34.0	30.815461	0	0
35.0	31.629052	0	0
36.0	32.437721	0	0
37.0	33.241498	0	0
38.0	34.040413	0	0
39.0	34.834496	0	0
40.0	35.623775	0	0
41.0	36.408279	0	0
42.0	37.188037	0	0
43.0	37.963079	0	0
44.0	38.733432	0	0
45.0	39.499126	0	0
46.0	40.260187	0	0
47.0	41.016645	0	0
48.0	41.768526	0	0
49.0	42.51586	0	0
50.0	43.258672	0	0
51.0	43.996992	0	0
52.0	44.730844	0	0
53.0	45.460258	0	0
54.0	46.185259	0	0
55.0	46.905875	0	0
56.0	47.622132	0	0
57.0	48.334055	0	0
58.0	49.041672	0	0
59.0	49.745009	0	0
60.0	50.444091	0	0
61.0	51.138944	0	0
62.0	51.829594	0	0
63.0	52.516065	0	0
64.0	53.198385	0	0
65.0	53.876576	0	0
66.0	54.550666	0	0
67.0	55.220677	0	0
68.0	55.886635	0	0
69.0	56.548565	0	0
70.0	57.206491	0	0
71.0	57.860437	0	0
72.0	58.510427	0	0
73.0	59.156485	0	0
74.0	59.798635	0	0
75.0	60.4369	0	0
76.0	61.071305	0	0
77.0	61.701872	0	0
78.0	62.328624	0	0
79.0	62.951585	0	0
80.0	63.570778	0	0
81.0	64.186224	0	0
82.0	64.797948	0	0
83.0	65.405972	0	0
84.0	66.010317	0	0
85.0	66.611007	0	0
86.0	67.208063	0	0
87.0	67.801507	0	0
88.0	68.391362	0	0
89.0	68.977648	0	0
90.0	69.560387	0	0
91.0	70.139602	0	0
92.0	70.715313	0	0
93.0	71.287541	0	0
94.0	71.856307	0	0
95.0	72.421633	0	0
96.0	72.98354	0	0
97.0	73.542047	0	0
98.0	74.097175	0	0
99.0	74.648946	0	0
100.0	75.197379	0	0

